code,name,sector_33,slope_past,slope_recent,rebound_pct,per,pbr,wave_types
2180,サニーサイドアップグループ,サービス業,-0.00067,0.01922,44.3,12.84,3.36,上昇トレンド
1909,日本ドライケミカル,機械,-0.00371,0.01811,44.3,19.72,3.35,上昇トレンド|ブレイク気味|高ボラ（荒い）
4631,ＤＩＣ,化学,-0.0017,0.01584,35.0,14.14,0.95,上昇トレンド|ブレイク気味|高ボラ（荒い）
5332,ＴＯＴＯ,ガラス・土石製品,-0.00174,0.01372,47.1,31.65,2.39,上昇トレンド|ブレイク気味|高ボラ（荒い）
4208,ＵＢＥ,化学,-0.00176,0.01223,27.2,12.02,0.66,レンジ（波型）|ブレイク気味|高ボラ（荒い）
7211,三菱自動車工業,輸送用機器,-0.00476,0.01143,22.4,49.73,0.54,下降トレンド|高ボラ（荒い）
4272,日本化薬,化学,-0.0007,0.01135,23.6,13.23,1.14,上昇トレンド|ブレイク気味|高ボラ（荒い）
5991,日本発條,金属製品,-0.00262,0.01128,43.8,26.11,1.66,上昇トレンド|ブレイク気味|高ボラ（荒い）
5901,東洋製罐グループホールディングス,金属製品,-0.00555,0.0108,23.4,10.75,0.84,下降トレンド|高ボラ（荒い）
4205,日本ゼオン,化学,-0.00069,0.01045,26.2,11.74,1.11,上昇トレンド|ブレイク気味|高ボラ（荒い）
7460,ヤギ,卸売業,-0.00352,0.00864,17.9,10.08,0.78,上昇トレンド|ブレイク気味|高ボラ（荒い）
6018,阪神内燃機工業,輸送用機器,-0.0032,0.00843,24.5,27.93,1.31,上昇トレンド|ブレイク気味|高ボラ（荒い）
7505,扶桑電通,卸売業,-0.00071,0.00755,19.2,7.25,1.38,高ボラ（荒い）
4619,日本特殊塗料,化学,-0.00133,0.00752,16.4,9.76,0.84,レンジ（波型）|ブレイク気味|高ボラ（荒い）
6226,守谷輸送機工業,機械,-0.00238,0.00739,12.7,17.86,2.48,下降トレンド|高ボラ（荒い）
5076,インフロニア・ホールディングス,建設業,-0.00492,0.00738,18.6,9.5,1.01,高ボラ（荒い）
7713,シグマ光機,精密機器,-0.00384,0.00728,33.8,17.54,0.93,上昇トレンド|ブレイク気味|高ボラ（荒い）
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業,-0.00082,0.00726,20.6,43.29,10.77,上昇トレンド|ブレイク気味|高ボラ（荒い）
3205,ダイドーリミテッド,繊維製品,-0.00766,0.00723,18.9,11.55,2.12,下降トレンド
6544,ジャパンエレベーターサービスホールディングス,サービス業,-0.00103,0.0071,12.6,42.92,12.76,下降トレンド|ブレイク気味|高ボラ（荒い）
7885,タカノ,その他製品,-0.0038,0.00691,23.5,30.4,0.58,上昇トレンド|ブレイク気味|高ボラ（荒い）
3941,レンゴー,パルプ・紙,-0.00148,0.00674,19.7,17.21,0.74,高ボラ（荒い）
5393,ニチアス,ガラス・土石製品,-0.06177,0.00566,16.7,21.32,2.98,下降トレンド|高ボラ（荒い）
4091,日本酸素ホールディングス,化学,-0.00147,0.00519,11.9,21.6,2.2,上昇トレンド|ブレイク気味|高ボラ（荒い）
7500,西川計測,卸売業,-0.00659,0.00513,9.9,12.64,8.7,下降トレンド
7267,本田技研工業,輸送用機器,-0.00138,0.00489,16.1,6.37,0.48,下降トレンド|高ボラ（荒い）
287A,黒田グループ,卸売業,-0.00108,0.00484,13.5,12.95,1.1,上昇トレンド|高ボラ（荒い）
9843,ニトリホールディングス,小売業,-0.00546,0.00482,18.1,16.58,1.5,下降トレンド|高ボラ（荒い）
9782,ディーエムエス,サービス業,-0.00296,0.00446,14.8,17.12,1.39,レンジ（波型）
1332,ニッスイ,水産・農林業,-0.00179,0.00436,11.8,14.71,1.34,上昇トレンド|高ボラ（荒い）
2782,セリア,小売業,-0.00918,0.00416,13.1,17.33,2.56,レンジ（波型）
8088,岩谷産業,卸売業,-0.00103,0.00414,7.8,9.74,1.06,上昇トレンド|ブレイク気味|高ボラ（荒い）
8341,七十七銀行,銀行業,-0.06,0.00397,8.2,13.02,1.05,下降トレンド
6356,日本ギア工業,機械,-0.01478,0.0039,35.4,13.49,4.34,上昇トレンド|高ボラ（荒い）
1793,大本組,建設業,-0.00555,0.0039,15.7,25.91,1.32,上昇トレンド|高ボラ（荒い）
7570,橋本総業ホールディングス,卸売業,-0.00252,0.00376,9.1,9.42,0.73,上昇トレンド
8058,三菱商事,卸売業,-0.00335,0.00373,6.7,24.15,1.96,上昇トレンド|高ボラ（荒い）
2820,やまみ,食料品,-0.00362,0.00367,29.3,17.45,2.82,下降トレンド|高ボラ（荒い）
7261,マツダ,輸送用機器,-0.00193,0.00359,15.9,20.66,0.38,下降トレンド|高ボラ（荒い）
5018,ＭＯＲＥＳＣＯ,石油・石炭製品,-0.00404,0.00357,22.8,11.86,0.77,高ボラ（荒い）
9201,日本航空,空運業,-0.00135,0.00328,12.1,8.93,0.91,下降トレンド
9308,乾汽船,海運業,-0.00087,0.00327,11.4,48.78,1.09,上昇トレンド|高ボラ（荒い）
4979,ＯＡＴアグリオ,化学,-0.00412,0.00325,7.7,11.56,1.36,上昇トレンド|高ボラ（荒い）
1860,戸田建設,建設業,-0.00206,0.00304,13.0,12.63,1.19,上昇トレンド|高ボラ（荒い）
6223,西部技研,機械,-0.00124,0.003,8.0,13.04,1.39,高ボラ（荒い）
4578,大塚ホールディングス,医薬品,-0.00141,0.00285,12.2,17.09,1.99,上昇トレンド|ブレイク気味|高ボラ（荒い）
9433,ＫＤＤＩ,情報・通信業,-0.00092,0.00278,8.8,14.93,2.05,レンジ（波型）|ブレイク気味
294A,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩジャパン気候変動指数（セレクト）連動型上場投信,ETF・ETN,-0.0017,0.00267,12.5,20.52,,上昇トレンド|ブレイク気味
5304,ＳＥＣカーボン,ガラス・土石製品,-0.00424,0.00261,9.2,6.36,0.66,上昇トレンド|高ボラ（荒い）
7269,スズキ,輸送用機器,-0.00185,0.00258,12.9,8.67,1.13,下降トレンド|ブレイク気味|高ボラ（荒い）
4202,ダイセル,化学,-0.00433,0.00246,17.0,34.48,0.97,下降トレンド|ブレイク気味|高ボラ（荒い）
9202,ＡＮＡホールディングス,空運業,-0.00135,0.0024,14.9,9.3,0.91,下降トレンド
5471,大同特殊鋼,鉄鋼,-0.00218,0.00238,15.1,12.85,0.88,高ボラ（荒い）
8041,ＯＵＧホールディングス,卸売業,-0.00115,0.00237,12.2,4.29,0.56,高ボラ（荒い）
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,-0.1163,0.00234,6.2,18.72,,下降トレンド
8244,近鉄百貨店,小売業,-0.00213,0.00234,7.1,18.45,1.52,下降トレンド
6835,アライドテレシスホールディングス,電気機器,-0.00316,0.00225,14.6,10.28,1.38,高ボラ（荒い）
5449,大阪製鐵,鉄鋼,-0.00405,0.00224,15.2,,0.7,下降トレンド|ブレイク気味|高ボラ（荒い）
2579,コカ・コーラ　ボトラーズジャパンホールディングス,食料品,-0.00459,0.00221,7.9,37.81,1.57,上昇トレンド
4540,ツムラ,医薬品,-0.00056,0.0022,8.0,10.12,0.88,下降トレンド
5985,サンコール,金属製品,-0.00773,0.00207,12.4,8.32,1.51,上昇トレンド|高ボラ（荒い）
1893,五洋建設,建設業,-0.00161,0.00194,8.8,14.16,2.45,高ボラ（荒い）
7417,南陽,卸売業,-0.00058,0.00191,6.1,7.86,0.67,未分類
7481,尾家産業,卸売業,-0.00287,0.00186,8.6,7.2,1.19,未分類
7735,ＳＣＲＥＥＮホールディングス,電気機器,-0.03604,0.00178,8.7,22.83,4.32,下降トレンド|高ボラ（荒い）
5406,神戸製鋼所,鉄鋼,-0.00116,0.00171,7.3,8.33,0.62,下降トレンド|ブレイク気味
5938,ＬＩＸＩＬ,金属製品,-0.00163,0.00126,5.2,59.53,0.73,下降トレンド
6492,岡野バルブ製造,機械,-0.00069,0.00112,44.8,24.88,2.21,上昇トレンド|高ボラ（荒い）
8066,三谷商事,卸売業,-0.0024,0.00105,10.5,8.85,1.11,上昇トレンド|高ボラ（荒い）
4977,新田ゼラチン,化学,-0.00214,0.00104,6.4,6.78,0.92,レンジ（波型）|高ボラ（荒い）
